Date,close price
19-07-2017,18.72
20-07-2017,18.72
23-07-2017,18.72
24-07-2017,18.72
25-07-2017,18.4
26-07-2017,18.65
27-07-2017,18.65
30-07-2017,19
31-07-2017,18.79
01-08-2017,18.79
02-08-2017,18.9
03-08-2017,19.2
06-08-2017,19.15
07-08-2017,19.25
08-08-2017,19.24
09-08-2017,19.24
10-08-2017,19
13-08-2017,18.8
14-08-2017,18.7
16-08-2017,18.8
17-08-2017,18.64
20-08-2017,18.7
21-08-2017,18.7
22-08-2017,18.7
23-08-2017,18.65
24-08-2017,18.4
27-08-2017,18.4
28-08-2017,18.35
29-08-2017,18.25
30-08-2017,18.35
05-09-2017,18.25
06-09-2017,18.24
07-09-2017,18.2
10-09-2017,18.2
11-09-2017,18.05
12-09-2017,18
13-09-2017,18
14-09-2017,18
17-09-2017,18.29
18-09-2017,18.01
19-09-2017,18.01
20-09-2017,18
24-09-2017,18.27
25-09-2017,18
26-09-2017,18
27-09-2017,17.9
28-09-2017,18
01-10-2017,17.8
02-10-2017,17.8
03-10-2017,17.8
4-10-2017,17.8
5-10-2017,17.55
8-10-2017,17.55
09-10-2017,17.55
10-10-2017,17.6
11-10-2017,17.32
12-10-2017,17.45
15-10-2017,17.45
16-10-2017,17.45
17-10-2017,17.45
18-10-2017,17.2
19-10-2017,17.2
22-10-2017,17.2
23-10-2017,17
24-10-2017,16.7
25-10-2017,17
26-10-2017,17.2
29-10-2017,17.29
30-10-2017,16.75
31-10-2017,17
01-11-2017,17
02-11-2017,17
05-11-2017,17
6-11-2017,17
07-11-2017,16.8
08-11-2017,16.6
09-11-2017,16.6
12-11-2017,16.9
13-11-2017,16.9
14-11-2017,16.6
15-11-2017,16.5
16-11-2017,16.5
19-11-2017,16.67
20-11-2017,16.67
21-11-2017,16.67
22-11-2017,16.5
23-11-2017,16.5
26-11-2017,16.5
27-11-2017,16.51
28-11-2017,17
29-11-2017,17
3-12-2017,17
4-12-2017,16.5
5-12-2017,17
6-12-2017,17
07-12-2017,17
10-12-2017,17
11-12-2017,16.5
12-12-2017,16.6
13-12-2017,16.99
14-12-2017,16.98
17-12-2017,16.98
18-12-2017,16.98
19-12-2017,16.98
20-12-2017,16.95
21-12-2017,16.95
24-12-2017,17
26-12-2017,16.99
27-12-2017,16.6
28-12-2017,16.6
31-12-2017,16.85
31-12-2017,16.85
2-1-2018,16.85
3-1-2018,16.85
4-1-2018,16.85
7-1-2018,16.85
8-1-2018,16.85
9-1-2018,16.85
10-1-2018,16.85
11-1-2018,16.75
14-1-2018,16.75
15-1-2018,16.5
16-1-2018,16.5
17-1-2018,16.75
18-1-2018,16.74
21-1-2018,16.74
22-1-2018,16.5
23-1-2018,16.5
24-1-2018,16.5
25-1-2018,16.9
28-1-2018,16.9
29-1-2018,16.9
30-1-2018,16.95
31-1-2018,16.6
1-2-2018,16.56
4-2-2018,17
5-2-2018,16.95
6-2-2018,16.88
7-2-2018,16.55
8-2-2018,16.55
11-2-2018,16.85
12-2-2018,16.8
13-2-2018,16.7
14-2-2018,16.78
15-2-2018,16.78
18-2-2018,18.03
19-2-2018,18.44
20-2-2018,18.1
21-2-2018,18.09
22-2-2018,17.9
25-2-2018,17.35
26-2-2018,17.5
27-2-2018,17.5
28-2-2018,17.51
1-3-2018,17.5
4-3-2018,17.5
5-3-2018,17.35
6-3-2018,17.25
7-3-2018,17.2
8-3-2018,17.35
11-3-2018,17.35
12-3-2018,17.25
13-3-2018,17.35
14-3-2018,17.35
15-3-2018,17.2
18-3-2018,17.2
19-3-2018,16.99
20-3-2018,16.99
21-3-2018,16.99
22-3-2018,17.37
25-3-2018,17.05
26-3-2018,17.34
27-3-2018,17.01
28-3-2018,16.91
29-3-2018,16.91
1-4-2018,17.25
2-4-2018,17.3
3-4-2018,17.3
4-4-2018,17.34
5-4-2018,17.46
8-4-2018,17.46
9-4-2018,17.46
10-4-2018,17.46
11-4-2018,17.4
12-4-2018,17.4
15-4-2018,17.05
16-4-2018,16.65
17-4-2018,17.3
18-4-2018,17.3
19-4-2018,17.1
22-4-2018,17
23-4-2018,17
24-4-2018,17.05
25-4-2018,17.05
26-4-2018,17.05
29-4-2018,16.25
30-4-2018,16.43
2-5-2018,17
3-5-2018,16.95
6-5-2018,16.95
7-5-2018,16.6
8-5-2018,16.6
9-5-2018,16.02
10-5-2018,16.25
13-5-2018,16.25
14-5-2018,16.3
15-5-2018,16.01
16-5-2018,16.02
17-5-2018,16.02
20-5-2018,16.04
21-5-2018,16.03
22-5-2018,16.02
23-5-2018,16.02
24-5-2018,16.02
27-5-2018,16.02
28-5-2018,16.03
29-5-2018,16.1
30-5-2018,16.1
31-5-2018,15.98
3-6-2018,15.96
4-6-2018,15.96
5-6-2018,15.96
6-6-2018,15.65
7-6-2018,15.21
